Algorithm            Matrix                         Blocks TPB    Time(ms)   Bandwidth    FLOPS     
SpMV-CPU-multipleAcc af23560.mtx                    N/A    N/A    296.800000 0.000027     0.000003  
SpMV-CPU-multipleAcc af_shell8.mtx                  N/A    N/A    9076.660000 0.000016     0.000002  
SpMV-CPU-multipleAcc CurlCurl_4.mtx                 N/A    N/A    16616.140000 0.000015     0.000002  
SpMV-CPU-multipleAcc cvxqp3.mtx                     N/A    N/A    58.520000  0.000022     0.000002  
SpMV-CPU-multipleAcc cyl6.mtx                       N/A    N/A    223.840000 0.000027     0.000003  
SpMV-CPU-multipleAcc human_gene2.mtx                N/A    N/A    9496.120000 0.000015     0.000002  
SpMV-CPU-multipleAcc lhr10.mtx                      N/A    N/A    152.580000 0.000025     0.000003  
SpMV-CPU-multipleAcc mawi_201512012345.mtx          N/A    N/A    44610.900000 0.000012     0.000001  
SpMV-CPU-multipleAcc rajat31.mtx                    N/A    N/A    31161.480000 0.000012     0.000001  
SpMV-CPU-multipleAcc spmsrtls.mtx                   N/A    N/A    102.200000 0.000023     0.000003  
SpMV-CPU-naive       af23560.mtx                    N/A    N/A    N/A        0.000011     0.000001  
SpMV-CPU-naive       af_shell8.mtx                  N/A    N/A    N/A        0.000011     0.000001  
SpMV-CPU-naive       CurlCurl_4.mtx                 N/A    N/A    N/A        0.000013     0.000001  
SpMV-CPU-naive       cvxqp3.mtx                     N/A    N/A    N/A        0.000016     0.000002  
SpMV-CPU-naive       cyl6.mtx                       N/A    N/A    N/A        0.000011     0.000001  
SpMV-CPU-naive       human_gene2.mtx                N/A    N/A    N/A        0.000006     0.000001  
SpMV-CPU-naive       lhr10.mtx                      N/A    N/A    N/A        0.000009     0.000001  
SpMV-CPU-naive       mawi_201512012345.mtx          N/A    N/A    N/A        0.000012     0.000001  
SpMV-CPU-naive       rajat31.mtx                    N/A    N/A    N/A        0.000012     0.000001  
SpMV-CPU-naive       spmsrtls.mtx                   N/A    N/A    N/A        0.000014     0.000002  
SpMV-GPU-rowSplit    af23560.mtx                    N/A    N/A    0.057119   0.139157     0.016956  
SpMV-GPU-rowSplit    af_shell8.mtx                  N/A    N/A    1.395999   0.106745     0.012961  
SpMV-GPU-rowSplit    CurlCurl_4.mtx                 N/A    N/A    1.089884   0.232507     0.026513  
SpMV-GPU-rowSplit    cvxqp3.mtx                     N/A    N/A    0.015340   0.085230     0.009124  
SpMV-GPU-rowSplit    cyl6.mtx                       N/A    N/A    0.264274   0.022467     0.002754  
SpMV-GPU-rowSplit    human_gene2.mtx                N/A    N/A    8.097956   0.017879     0.002233  
SpMV-GPU-rowSplit    lhr10.mtx                      N/A    N/A    0.054395   0.070156     0.008553  
SpMV-GPU-rowSplit    mawi_201512012345.mtx          N/A    N/A    1986.529055 0.000263     0.000019  
SpMV-GPU-rowSplit    rajat31.mtx                    N/A    N/A    1.158758   0.320401     0.035066  
